match_id,hero_id,lane,lane_role,gold_t,radiant_team,dire_team,radiant_win,team,max_g,pos
7590849510,45,3,3,"[0, 208, 392, 537, 756, 846, 984, 1367, 1556, 1959, 2246, 2498, 2637, 3251, 4022, 4280, 4761, 5183, 5435, 5882, 6976, 7587, 8205, 8645, 9964, 10657, 10961]","[48, 66, 96, 45, 80]","[17, 123, 41, 23, 5]",True,radiant,10961,5
7590862303,28,1,3,"[0, 130, 483, 767, 1219, 1527, 2039, 2392, 2482, 3231, 3831, 4203, 4457, 5056, 5411, 5779, 5873, 6565, 7047, 7142, 7715, 7925, 9022]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",False,dire,9022,1
7590862303,51,1,3,"[0, 130, 220, 310, 600, 690, 921, 1146, 1236, 1622, 1757, 1847, 2264, 2555, 2973, 3068, 3175, 3817, 3957, 4067, 4899, 4994, 5170]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",False,dire,5170,5
7590862303,39,2,2,"[0, 259, 556, 1307, 1648, 2044, 2810, 3158, 3563, 3813, 4075, 4381, 4568, 4770, 5694, 5789, 5986, 6696, 7329, 7695, 7986, 8495, 8792]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",False,dire,8792,2
7590862303,6,3,1,"[0, 164, 406, 566, 1069, 1270, 1550, 1859, 2038, 2258, 2769, 3091, 3864, 4503, 4598, 4852, 5105, 5905, 6249, 6344, 7538, 7754, 8495]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",False,dire,8495,3
7590862303,20,3,1,"[0, 130, 220, 353, 745, 860, 1351, 1677, 2081, 2349, 2623, 2713, 3047, 3338, 3918, 4013, 4167, 4846, 5088, 5183, 5929, 6024, 6534]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",False,dire,6534,4
7590862303,95,1,1,"[0, 210, 571, 936, 1147, 1566, 2073, 2646, 3426, 3588, 4072, 4390, 4699, 5389, 5976, 7001, 8078, 8903, 9371, 11115, 11289, 12309, 13716]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",True,radiant,13716,1
7590862303,26,1,1,"[100, 310, 400, 540, 630, 765, 1060, 1283, 1511, 1621, 2118, 2256, 2531, 3394, 4147, 4594, 5330, 5765, 6052, 6336, 6726, 7371, 8119]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",True,radiant,8119,4
7590862303,13,2,2,"[0, 362, 687, 815, 977, 1349, 1641, 1898, 2393, 2929, 3395, 3692, 4252, 5260, 5529, 6042, 7311, 7791, 8744, 10233, 10934, 12306, 13585]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",True,radiant,13585,2
7590862303,100,3,3,"[0, 210, 300, 390, 578, 668, 1075, 1229, 1502, 1737, 1916, 2055, 2503, 2858, 3430, 4026, 4860, 5344, 5515, 6087, 6439, 7075, 7833]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",True,radiant,7833,5
7590862303,96,3,3,"[0, 244, 481, 727, 1156, 1246, 1468, 1797, 2105, 2594, 3000, 3390, 3638, 4341, 4812, 5221, 6437, 7167, 7930, 8748, 9442, 10091, 11595]","[95, 26, 13, 100, 96]","[6, 39, 28, 51, 20]",True,radiant,11595,3
7591136209,121,1,3,"[0, 170, 351, 471, 619, 709, 799, 1342, 1432, 1713, 2031, 2180, 2671, 3030, 3125, 3412, 3824, 4319, 4497, 5123, 5507, 5904, 6280, 6499, 7033, 7128, 7607, 7702, 9077, 9873, 10610, 11297, 12068, 12168, 12496, 13918, 14308]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",True,dire,14308,5
7591136209,129,1,3,"[0, 241, 530, 721, 934, 1260, 1505, 2086, 2502, 2703, 3176, 3666, 4224, 4930, 5834, 6274, 7026, 7315, 7410, 7665, 8172, 8320, 8734, 9912, 10541, 10636, 10919, 11741, 12904, 13899, 15123, 15503, 17139, 17699, 18906, 20705, 21892]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",True,dire,21892,2
7591136209,17,2,2,"[0, 291, 657, 1067, 1290, 1380, 2189, 2735, 2955, 3900, 4385, 4643, 5023, 6080, 6260, 7100, 7386, 7825, 8554, 9389, 9484, 9889, 10055, 10671, 10947, 11294, 11997, 12750, 13470, 14291, 14387, 15610, 16319, 16655, 17945, 18300, 19122]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",True,dire,19122,4
7591136209,1,3,1,"[0, 316, 635, 993, 1360, 1735, 2077, 2574, 3196, 3581, 4345, 4816, 5513, 6005, 6956, 7473, 8269, 9052, 9147, 9367, 10060, 10768, 11660, 12582, 13601, 14448, 15783, 16872, 18498, 20345, 22084, 23408, 25058, 25158, 25438, 27940, 29318]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",True,dire,29318,1
7591136209,90,3,1,"[0, 423, 553, 673, 783, 1110, 1314, 1448, 1753, 2330, 2933, 3162, 3460, 4343, 4521, 5125, 5628, 6130, 6707, 7515, 8025, 8558, 9231, 9684, 10789, 11186, 11807, 12702, 13980, 15030, 16049, 17441, 18500, 19389, 19669, 20888, 21790]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",True,dire,21790,3
7591136209,46,1,1,"[0, 294, 568, 953, 1351, 1679, 2132, 2491, 2994, 3255, 3554, 4076, 4342, 4819, 5234, 5494, 6217, 6927, 7774, 8623, 9807, 10749, 11863, 12657, 13152, 13781, 14953, 15719, 16394, 16574, 17093, 17794, 18705, 19948, 20831, 21593, 21693]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,21693,1
7591136209,5,1,1,"[0, 170, 307, 585, 788, 975, 1416, 1595, 1685, 1775, 1910, 2023, 2446, 2689, 3066, 3253, 3770, 4078, 4801, 5224, 5957, 6052, 6359, 6571, 6860, 7132, 7307, 7483, 7617, 7713, 8501, 8601, 8701, 8801, 8954, 9102, 9352]","[106, 28, 53, 46, 5]","[17, 1, 90, 121, 129]",False,radiant,9352,5
