,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_last_gold,dire_pos1_last_gold,rad_pos2_last_gold,dire_pos2_last_gold,rad_pos3_last_gold,dire_pos3_last_gold,rad_pos4_last_gold,dire_pos4_last_gold,rad_pos5_last_gold,dire_pos5_last_gold
0,6399,5383,5885,2609,2237,5954,6445,6200,2816,2692,445,-1062,-315,-207,-455,-1594,dire,6505.0,5967.0,5207.0,6359.0,5821.0,6228.0,2587.0,2784.0,2366.0,2403.0
1,5917,6235,6524,2798,2628,9055,6276,5429,2866,2798,-3138,-41,1095,-68,-170,-2322,radiant,5790.0,8908.0,6137.0,5873.0,6640.0,5408.0,3014.0,3024.0,2814.0,2960.0
2,6944,5849,5584,3521,2260,6690,5570,4643,2700,3026,254,279,941,821,-766,1529,dire,6563.0,6735.0,5888.0,5600.0,5646.0,4524.0,3331.0,2775.0,2268.0,3142.0
3,7209,6843,6734,2371,2771,5637,5659,5180,3095,2296,1572,1184,1554,-724,475,4061,radiant,6957.0,5480.0,6646.0,5695.0,6492.0,5018.0,2418.0,2970.0,2923.0,2376.0
4,8298,7366,6309,4413,3383,6805,6503,6036,3808,2856,1493,863,273,605,527,3761,dire,8507.0,6779.0,7137.0,6737.0,6346.0,6246.0,4272.0,3696.0,3526.0,3088.0
5,6851,7361,6118,3719,3549,6633,6524,5961,3393,3022,218,837,157,326,527,2065,dire,7008.0,6782.0,7349.0,6215.0,5985.0,5810.0,3924.0,2892.0,3723.0,3010.0
6,6468,5912,6536,3871,3133,5875,6695,5732,6306,2701,593,-783,804,-2435,432,-1389,radiant,6262.0,5977.0,5937.0,6497.0,6567.0,5638.0,4067.0,6536.0,3165.0,2911.0
7,7557,5517,5404,2748,2973,7885,5068,5472,2937,2454,-328,449,-68,-189,519,383,dire,7513.0,7433.0,5401.0,4669.0,5432.0,5585.0,3020.0,2583.0,2907.0,2225.0
8,6296,5892,5750,2787,1971,6571,6419,5272,3085,2091,-275,-527,478,-298,-120,-742,radiant,6028.0,6576.0,5611.0,6360.0,5855.0,5327.0,2935.0,3125.0,2059.0,2304.0
9,5910,6445,5961,3146,2776,4735,5065,6548,2969,2571,1175,1380,-587,177,205,2350,dire,6014.0,4377.0,6401.0,5006.0,5932.0,6706.0,3424.0,3130.0,3019.0,2709.0
10,8175,6358,6182,5256,3379,5222,5237,5426,2837,2384,2953,1121,756,2419,995,8244,radiant,8082.0,5071.0,5926.0,5144.0,6256.0,5431.0,5358.0,2883.0,2902.0,2416.0
11,7759,8472,5771,3536,2413,7018,6349,5834,3607,2375,741,2123,-63,-71,38,2768,radiant,7557.0,6969.0,8384.0,6311.0,5711.0,5628.0,3608.0,3819.0,2645.0,2602.0
12,7968,5496,5062,3396,3834,5497,7575,5104,3127,3135,2471,-2079,-42,269,699,1318,radiant,8118.0,5450.0,5277.0,7367.0,5075.0,5001.0,3150.0,3310.0,3752.0,3218.0
13,6118,6051,5575,3634,2390,5777,7138,5496,3478,4450,341,-1087,79,156,-2060,-2571,radiant,5996.0,5687.0,6027.0,7126.0,5652.0,5175.0,3757.0,3269.0,2533.0,4503.0
14,6844,5882,5374,3130,2891,6729,4649,5579,2835,2822,115,1233,-205,295,69,1507,dire,6538.0,6583.0,5571.0,4666.0,5287.0,5793.0,3353.0,2836.0,2950.0,3013.0
