,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,445,-1062,-315,-207,-455,-1594,dire,6505.0,5967.0,5207.0,6359.0,5821.0,6228.0,2587.0,2784.0,2366.0,2403.0
1,-3138,-41,1095,-68,-170,-2322,radiant,5790.0,8908.0,6137.0,5873.0,6640.0,5408.0,3014.0,3024.0,2814.0,2960.0
2,254,279,941,821,-766,1529,dire,6563.0,6735.0,5888.0,5600.0,5646.0,4524.0,3331.0,2775.0,2268.0,3142.0
3,1572,1184,1554,-724,475,4061,radiant,6957.0,5480.0,6646.0,5695.0,6492.0,5018.0,2418.0,2970.0,2923.0,2376.0
4,1493,863,273,605,527,3761,dire,8507.0,6779.0,7137.0,6737.0,6346.0,6246.0,4272.0,3696.0,3526.0,3088.0
5,218,837,157,326,527,2065,dire,7008.0,6782.0,7349.0,6215.0,5985.0,5810.0,3924.0,2892.0,3723.0,3010.0
6,593,-783,804,-2435,432,-1389,radiant,6262.0,5977.0,5937.0,6497.0,6567.0,5638.0,4067.0,6536.0,3165.0,2911.0
7,-328,449,-68,-189,519,383,dire,7513.0,7433.0,5401.0,4669.0,5432.0,5585.0,3020.0,2583.0,2907.0,2225.0
8,-275,-527,478,-298,-120,-742,radiant,6028.0,6576.0,5611.0,6360.0,5855.0,5327.0,2935.0,3125.0,2059.0,2304.0
9,1175,1380,-587,177,205,2350,dire,6014.0,4377.0,6401.0,5006.0,5932.0,6706.0,3424.0,3130.0,3019.0,2709.0
10,2953,1121,756,2419,995,8244,radiant,8082.0,5071.0,5926.0,5144.0,6256.0,5431.0,5358.0,2883.0,2902.0,2416.0
11,741,2123,-63,-71,38,2768,radiant,7557.0,6969.0,8384.0,6311.0,5711.0,5628.0,3608.0,3819.0,2645.0,2602.0
12,2471,-2079,-42,269,699,1318,radiant,8118.0,5450.0,5277.0,7367.0,5075.0,5001.0,3150.0,3310.0,3752.0,3218.0
13,341,-1087,79,156,-2060,-2571,radiant,5996.0,5687.0,6027.0,7126.0,5652.0,5175.0,3757.0,3269.0,2533.0,4503.0
14,115,1233,-205,295,69,1507,dire,6538.0,6583.0,5571.0,4666.0,5287.0,5793.0,3353.0,2836.0,2950.0,3013.0
15,-1593,-2825,-2415,-1304,-1795,-9932,dire,5787.0,7155.0,4444.0,6760.0,3796.0,6101.0,2750.0,3999.0,2087.0,3876.0
16,-1113,-1331,-472,738,-1053,-3231,radiant,5546.0,5994.0,6099.0,6587.0,5157.0,5226.0,3202.0,2816.0,2201.0,2781.0
17,642,2405,980,934,654,5615,radiant,6130.0,6226.0,6883.0,4734.0,5806.0,4679.0,4611.0,3655.0,3235.0,2917.0
18,222,1879,2401,733,281,5516,radiant,7171.0,6783.0,7204.0,4850.0,6758.0,3877.0,4395.0,3409.0,2978.0,2445.0
19,-602,1212,1373,-4,645,2624,dire,5834.0,6743.0,6490.0,5408.0,5675.0,4534.0,3406.0,3340.0,3051.0,2525.0
20,1833,-512,342,-3703,-436,-2476,dire,7198.0,5254.0,5571.0,5695.0,5532.0,4954.0,2783.0,6176.0,2583.0,2830.0
21,-1667,684,-601,322,273,-989,dire,6538.0,7879.0,4960.0,4782.0,4834.0,5769.0,4280.0,3863.0,4590.0,4105.0
22,-4561,-3753,-3105,-2318,-2324,-16061,dire,4391.0,8249.0,3730.0,6852.0,3347.0,6774.0,2741.0,4978.0,2362.0,4431.0
23,-2720,-3224,-4120,-2850,-1310,-14224,dire,6260.0,8705.0,5049.0,7962.0,3645.0,8070.0,4175.0,6964.0,3360.0,4187.0
24,-702,2467,-203,670,-93,2139,dire,6118.0,6774.0,6905.0,4200.0,5799.0,5849.0,4040.0,3697.0,3371.0,3267.0
25,-417,-418,2040,1134,1278,3617,dire,5806.0,5611.0,6963.0,7140.0,6286.0,3796.0,4276.0,3347.0,4129.0,2838.0
26,3008,910,3998,499,-444,7971,radiant,8379.0,5548.0,6838.0,5923.0,7050.0,3496.0,4649.0,4311.0,3283.0,3637.0
27,-2556,-472,-850,-1144,31,-4991,dire,5826.0,8242.0,5500.0,6111.0,4280.0,5304.0,2416.0,3609.0,2241.0,2590.0
28,724,1241,1026,86,718,3795,radiant,8839.0,7211.0,6186.0,4825.0,6543.0,4988.0,3804.0,3013.0,3512.0,2269.0
29,1226,-128,-834,544,369,1177,radiant,6089.0,5260.0,5150.0,5456.0,6036.0,6512.0,3824.0,3258.0,3453.0,3260.0
30,-1341,-1457,-2039,-637,-122,-5596,dire,6671.0,7912.0,5643.0,6802.0,5736.0,7841.0,3060.0,3530.0,3333.0,3488.0
31,-936,7,1152,211,494,928,dire,5008.0,6036.0,4920.0,5729.0,6896.0,5957.0,2886.0,2716.0,2620.0,2531.0
32,282,535,-1089,-73,-600,-945,dire,5531.0,4891.0,5396.0,5383.0,4342.0,5615.0,2931.0,2805.0,2797.0,3562.0
33,1388,-696,401,1515,-65,2543,radiant,7070.0,5833.0,6987.0,7854.0,5911.0,5672.0,3471.0,1990.0,2295.0,2514.0
34,-413,-2057,-1961,1090,196,-3145,radiant,5922.0,6123.0,4801.0,6937.0,3644.0,5690.0,5204.0,4203.0,3673.0,3092.0
35,151,-805,-1549,1285,538,-380,dire,6570.0,6113.0,5110.0,5970.0,3751.0,5227.0,4166.0,2311.0,3715.0,2966.0
36,4234,2914,3884,1446,191,12669,radiant,8622.0,4471.0,7723.0,5387.0,7486.0,3505.0,3512.0,2282.0,3368.0,3363.0
37,1703,-1693,-1455,-1375,154,-2666,dire,7244.0,5489.0,5042.0,6697.0,4973.0,6697.0,3267.0,4622.0,3166.0,3120.0
38,2306,-114,-220,427,427,2826,radiant,8060.0,6172.0,5770.0,5666.0,4473.0,4989.0,3126.0,3078.0,3252.0,2908.0
39,-676,411,-1713,247,330,-1401,dire,6402.0,7420.0,5465.0,5417.0,3917.0,5764.0,3007.0,3115.0,2794.0,2836.0
40,2545,1624,2127,1424,896,8616,radiant,8001.0,6136.0,6823.0,5846.0,6807.0,5322.0,4326.0,3102.0,4378.0,3602.0
41,236,141,-187,1614,1909,3713,radiant,6237.0,6114.0,7259.0,6981.0,4197.0,4616.0,4403.0,3333.0,3787.0,2035.0
42,-60,-179,347,-332,-432,-656,radiant,6538.0,6661.0,5629.0,5297.0,5076.0,4527.0,3337.0,3746.0,2648.0,2993.0
43,-3063,-1202,-14,-528,190,-4617,dire,4848.0,7796.0,5645.0,6662.0,5562.0,5188.0,2856.0,3057.0,3680.0,3389.0
44,745,2091,1647,1131,1192,6806,radiant,6804.0,6542.0,8184.0,5215.0,7141.0,5254.0,4999.0,3635.0,3967.0,2802.0
45,-605,796,-2099,250,-1293,-2951,dire,6073.0,6128.0,6087.0,5234.0,4463.0,6123.0,4184.0,3463.0,2532.0,3341.0
46,1211,1033,1888,731,1045,5908,radiant,6613.0,5236.0,6627.0,5111.0,6459.0,3906.0,3840.0,2586.0,3562.0,2250.0
47,-706,-1910,-2092,-852,1986,-3574,radiant,5264.0,6189.0,5574.0,7186.0,3882.0,5862.0,2496.0,2950.0,4557.0,2799.0
48,-1250,258,-1285,990,96,-1191,dire,5525.0,6507.0,6628.0,6393.0,4514.0,5885.0,4330.0,3640.0,3215.0,3102.0
49,-761,55,176,-283,-571,-1384,dire,5147.0,6153.0,6327.0,6488.0,6488.0,6265.0,3344.0,3451.0,2653.0,3413.0
50,-157,-1091,-1650,-1301,-696,-4895,dire,6856.0,7291.0,6792.0,7670.0,5916.0,7124.0,3193.0,4396.0,2839.0,3482.0
51,1224,651,-488,194,-341,1240,radiant,8293.0,6652.0,5961.0,5487.0,5802.0,6223.0,3599.0,3655.0,2856.0,3127.0
52,-1045,-488,393,-1054,-1129,-3323,dire,4816.0,5826.0,5702.0,6461.0,6889.0,6587.0,3309.0,4388.0,2335.0,3276.0
53,-330,-551,-1041,-529,-752,-3203,dire,6232.0,6170.0,5367.0,5793.0,3662.0,4745.0,2841.0,3378.0,2400.0,2975.0
54,-3162,-3150,-464,-688,-1220,-8684,dire,5624.0,8819.0,4673.0,8082.0,5919.0,6410.0,3463.0,4110.0,2506.0,4189.0
55,1375,-670,-827,-469,-1037,-1628,radiant,6334.0,4907.0,5663.0,6107.0,4922.0,5778.0,2723.0,3054.0,2634.0,3193.0
56,3820,2285,701,1977,908,9691,radiant,9966.0,6418.0,6328.0,4534.0,4190.0,3677.0,4814.0,2894.0,3485.0,2651.0
57,986,-338,1288,1310,792,4038,radiant,7310.0,7057.0,5801.0,6193.0,7259.0,6234.0,3789.0,3249.0,3259.0,2774.0
58,-226,-1427,-1277,-930,-429,-4289,dire,6313.0,6310.0,4883.0,6463.0,4545.0,5835.0,2928.0,3636.0,2283.0,2835.0
59,1101,235,-53,1026,-651,1658,radiant,7235.0,6166.0,5484.0,5103.0,6882.0,6673.0,4053.0,3054.0,2533.0,3398.0
60,1949,881,2741,465,929,6965,radiant,8592.0,6669.0,7158.0,6292.0,7905.0,5047.0,3669.0,3435.0,4330.0,3614.0
61,687,1965,1282,596,178,4708,dire,5997.0,5445.0,6645.0,4733.0,6156.0,5357.0,3877.0,3435.0,2721.0,2713.0
62,213,767,1604,492,1236,4312,radiant,6394.0,6024.0,6473.0,5796.0,7691.0,6085.0,4272.0,3918.0,3590.0,2566.0
63,500,-1709,-906,-1325,74,-3366,dire,8681.0,8688.0,3743.0,5649.0,4841.0,5983.0,2907.0,3944.0,2788.0,2869.0
64,-1325,-418,1098,-341,151,-835,dire,7793.0,8473.0,6103.0,6603.0,6681.0,5039.0,3161.0,3493.0,3105.0,2994.0
65,253,1762,1202,766,366,4349,radiant,6097.0,6000.0,6599.0,5205.0,5681.0,4734.0,3459.0,2983.0,2973.0,2879.0
66,605,-321,1436,-995,-320,405,dire,6308.0,5650.0,5461.0,5980.0,5849.0,4128.0,4533.0,6289.0,3500.0,3709.0
67,1294,429,1290,-445,1340,3908,dire,6676.0,5594.0,6947.0,6671.0,5184.0,4384.0,3504.0,4034.0,3717.0,2661.0
68,-557,-157,-476,-1760,-100,-3050,dire,5858.0,6420.0,6270.0,6242.0,5867.0,6732.0,3700.0,5761.0,3071.0,3315.0
69,0,2604,-103,3617,2572,8690,dire,6196.0,6251.0,7395.0,4606.0,4665.0,4704.0,5666.0,2477.0,5073.0,2401.0
70,-1943,-529,383,976,-79,-1192,dire,5564.0,7961.0,5546.0,6073.0,6269.0,5638.0,4148.0,3356.0,3295.0,3424.0
71,647,685,2317,-731,809,3727,dire,7530.0,6844.0,5345.0,4418.0,7520.0,5355.0,3715.0,4556.0,3560.0,2752.0
72,-802,-1415,-205,-604,-186,-3212,dire,6721.0,7276.0,6521.0,7786.0,5233.0,5694.0,2999.0,3620.0,2459.0,2668.0
73,-572,3435,1084,1889,554,6390,radiant,6021.0,6910.0,7051.0,4203.0,6555.0,5609.0,4204.0,2400.0,3608.0,2914.0
74,3801,3024,3656,604,3107,14192,radiant,15364.0,11806.0,13400.0,10176.0,12384.0,9334.0,8271.0,7767.0,8155.0,4967.0
75,2045,1439,809,320,-1076,3537,dire,8748.0,6526.0,7787.0,6340.0,7151.0,6966.0,4258.0,3693.0,2963.0,4198.0
76,1708,3555,4118,5036,3388,17805,radiant,10810.0,9644.0,9697.0,5987.0,9197.0,4702.0,7680.0,2813.0,6281.0,2512.0
77,2243,1664,-672,816,-173,3878,dire,7999.0,5274.0,5434.0,3901.0,5096.0,5852.0,4026.0,3058.0,2881.0,2730.0
78,652,111,1114,-528,-294,1055,dire,6188.0,5650.0,5825.0,5756.0,5558.0,4444.0,3432.0,3637.0,3105.0,3354.0
79,-1890,106,-2017,-862,-1098,-5761,dire,5460.0,6820.0,5300.0,5700.0,4954.0,6815.0,3014.0,3909.0,2773.0,4092.0
80,-899,-1719,139,478,-359,-2360,dire,7660.0,8197.0,6697.0,8114.0,6198.0,6219.0,3798.0,3645.0,3740.0,4030.0
81,799,-423,-672,11,1137,852,radiant,7896.0,7058.0,7708.0,8003.0,6005.0,6788.0,3789.0,3707.0,3897.0,3097.0
82,3827,2946,2203,1638,524,11138,radiant,9282.0,5644.0,7534.0,4948.0,7097.0,4796.0,5327.0,3816.0,4455.0,3835.0
