,match_id,rad_pos1,rad_pos2,rad_pos3,rad_pos4,rad_pos5,dire_pos1,dire_pos2,dire_pos3,dire_pos4,dire_pos5,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,minute,winner,rad_pos1_predicted_last_gold,dire_pos1_predicted_last_gold,rad_pos2_predicted_last_gold,dire_pos2_predicted_last_gold,rad_pos3_predicted_last_gold,dire_pos3_predicted_last_gold,rad_pos4_predicted_last_gold,dire_pos4_predicted_last_gold,rad_pos5_predicted_last_gold,dire_pos5_predicted_last_gold
0,7517420109,80,70,23,63,100,2,25,17,45,110,-2189,-2316,2078,-1717,-2322,-6466,35,radiant,20355.0,23682.0,22930.0,24516.0,21121.0,18639.0,9008.0,11163.0,9168.0,11700.0
1,7517480603,1,33,11,100,30,44,19,57,21,5,8806,-815,1567,-748,4068,12878,35,radiant,31492.0,22689.0,19232.0,19609.0,17105.0,16165.0,12196.0,12765.0,10998.0,7096.0
2,7517586007,46,42,97,50,86,22,29,71,14,26,4825,77,-2183,-4736,-1866,-3883,35,radiant,27092.0,21832.0,19101.0,18010.0,14735.0,15993.0,12407.0,15709.0,9985.0,10363.0
3,7519118314,53,10,20,136,51,48,80,23,112,83,1183,1057,-2891,-1343,-542,-2536,35,dire,20556.0,19472.0,18474.0,17311.0,14874.0,17812.0,9966.0,11185.0,9301.0,10018.0
4,7519190619,65,113,47,136,66,109,93,96,5,85,6318,1082,-432,1743,2612,11323,35,radiant,29289.0,22435.0,20463.0,19335.0,13610.0,14496.0,13166.0,11244.0,12135.0,9780.0
5,7519467519,21,25,14,121,51,94,69,80,66,5,5129,3211,1271,4536,936,15083,35,radiant,23708.0,18362.0,20818.0,16671.0,17358.0,15803.0,16021.0,11110.0,11138.0,9710.0
6,7519553415,59,76,23,112,20,53,106,96,51,5,-4275,1555,-1557,-1393,-1293,-6963,35,dire,20866.0,26093.0,19664.0,16484.0,15114.0,16579.0,10710.0,12503.0,9845.0,11784.0
7,7519735705,10,39,129,79,83,113,22,104,86,102,-2613,-1231,196,-1987,-767,-6402,35,radiant,20605.0,23313.0,16706.0,18861.0,14237.0,14275.0,9701.0,11816.0,7660.0,8785.0
8,7520505806,10,120,78,51,26,13,41,71,20,68,780,2059,-3081,492,568,818,35,dire,20609.0,20105.0,19469.0,17707.0,13182.0,17411.0,10328.0,9891.0,8194.0,7061.0
9,7520694012,81,52,135,20,75,18,42,97,9,101,-10875,-2015,-1052,-988,-1844,-16774,35,dire,17251.0,28106.0,17331.0,19731.0,16050.0,16699.0,11314.0,12297.0,10014.0,11732.0
10,7520723202,76,28,71,58,40,10,98,61,79,136,-1145,-3976,-392,3107,337,-2069,35,dire,22228.0,25642.0,17523.0,23211.0,18279.0,19637.0,15204.0,13248.0,10657.0,11206.0
11,7520855809,98,21,96,121,112,47,61,129,91,26,-6343,-4379,-4133,-1702,551,-16006,35,dire,19665.0,26389.0,16572.0,21103.0,14354.0,18067.0,9970.0,11697.0,9839.0,8779.0
12,7521011714,10,102,59,112,66,44,17,43,71,5,-3,-1362,-3379,965,1014,-2765,35,radiant,20106.0,20161.0,17364.0,19562.0,15216.0,18079.0,12343.0,11474.0,11397.0,10532.0
13,7521225303,46,49,76,58,26,82,14,69,63,123,-5346,-8211,-6639,-2650,-2147,-24993,35,dire,20284.0,25473.0,16452.0,24742.0,12627.0,19565.0,9901.0,12691.0,8521.0,11435.0
14,7521480417,12,107,21,85,138,10,129,137,26,100,-1806,3698,-430,3003,2576,7041,35,dire,20036.0,22563.0,19718.0,16051.0,15713.0,17224.0,12017.0,8875.0,9630.0,7850.0
15,7522292402,1,35,14,22,64,44,11,129,84,86,-1296,-4460,2716,2118,-321,-1243,35,radiant,23059.0,22830.0,20164.0,23350.0,18029.0,14615.0,12148.0,9895.0,9264.0,8828.0
16,7522384400,95,137,110,97,101,25,28,135,86,26,4877,-1924,-588,3860,778,7003,35,radiant,25184.0,20068.0,17228.0,18845.0,14053.0,15353.0,15217.0,10812.0,10367.0,9118.0
17,7522545002,93,47,110,20,14,25,29,70,27,121,-1895,-4305,-2628,1623,640,-6565,35,dire,21864.0,24347.0,12910.0,17413.0,12555.0,14957.0,11103.0,9461.0,10999.0,10419.0
18,7522558918,39,21,15,100,20,90,102,29,112,121,4024,1909,6232,-562,-1181,10422,35,radiant,23461.0,16981.0,20893.0,19906.0,20436.0,12264.0,10964.0,11801.0,9157.0,10574.0
19,7522585414,65,48,23,58,112,54,21,20,136,45,3642,-642,-2912,107,-385,-190,35,dire,24557.0,19932.0,18938.0,19916.0,15104.0,17883.0,11421.0,11333.0,11076.0,11034.0
20,7522659008,25,74,23,102,45,52,76,14,71,79,-956,-1536,-1022,-2483,-1878,-7875,35,radiant,23292.0,24273.0,18558.0,20426.0,13633.0,14569.0,9787.0,12309.0,8966.0,11149.0
21,7522961618,25,95,104,128,51,10,74,129,85,121,-4979,-1196,-4651,-1431,-2695,-14952,35,dire,21150.0,26196.0,18032.0,19113.0,10986.0,16052.0,8752.0,10995.0,7696.0,10811.0
22,7523717218,48,74,129,96,26,46,17,69,20,45,2028,-1535,-4099,-1326,-2620,-7552,35,radiant,25630.0,23944.0,16341.0,17767.0,14048.0,17947.0,11367.0,12420.0,9113.0,11364.0
23,7523787713,78,41,76,105,110,10,120,129,128,51,-6125,-2192,506,-3063,1264,-9610,35,dire,15800.0,22496.0,19775.0,22575.0,15990.0,15574.0,11071.0,13280.0,14145.0,12871.0
24,7524037914,46,14,92,5,51,10,74,96,86,45,-4146,-3981,-708,-250,-4841,-13926,35,dire,19343.0,24293.0,18432.0,22017.0,17286.0,17805.0,14228.0,13690.0,9297.0,13736.0
25,7524401509,13,10,138,30,100,1,25,21,112,20,-3038,-7613,-4194,-527,4579,-10793,35,radiant,21872.0,25058.0,17998.0,25513.0,13012.0,16974.0,10618.0,11414.0,12645.0,8294.0
26,7525812113,35,22,69,83,26,6,90,135,136,20,-5819,-4144,-2735,-3935,-1243,-17876,35,dire,17056.0,23215.0,15918.0,19262.0,16311.0,20005.0,7767.0,11320.0,6820.0,7895.0
27,7525933503,109,65,137,121,26,39,21,69,20,119,2231,-5866,-7100,-3920,-3344,-17999,35,dire,24864.0,22912.0,15846.0,21499.0,14412.0,20619.0,8930.0,12181.0,7897.0,11484.0
28,7526050917,46,98,120,79,83,48,21,96,65,85,-6139,-2908,-1442,-4111,-5948,-20548,35,dire,20932.0,28095.0,17908.0,21299.0,16743.0,18251.0,9988.0,14283.0,6907.0,12953.0
29,7526071203,54,74,96,101,83,107,102,14,105,27,890,-2035,-3979,-3492,-2695,-11311,35,dire,20283.0,18633.0,16888.0,18648.0,10435.0,13751.0,8023.0,11389.0,6879.0,9023.0
30,7526305209,89,96,76,105,68,41,43,106,26,110,9420,-1864,-2417,340,-569,4910,35,radiant,26952.0,17075.0,16407.0,17813.0,14999.0,17338.0,10848.0,10037.0,8491.0,9714.0
31,7527329500,46,102,21,26,14,95,13,97,20,86,-4622,-247,3529,-1397,-1951,-4688,35,radiant,22995.0,27537.0,20230.0,20082.0,18842.0,15447.0,10066.0,11605.0,9678.0,11334.0
32,7527537810,53,49,23,79,136,25,106,129,21,102,6239,2583,2307,885,3082,15096,35,radiant,26024.0,21824.0,20530.0,18924.0,17866.0,16345.0,10113.0,9941.0,10566.0,8059.0
