,rad_pos1_last_gold,rad_pos2_last_gold,rad_pos3_last_gold,rad_pos4_last_gold,rad_pos5_last_gold,dire_pos1_last_gold,dire_pos2_last_gold,dire_pos3_last_gold,dire_pos4_last_gold,dire_pos5_last_gold,pos1_diff,pos2_diff,pos3_diff,pos4_diff,pos5_diff,team_diff,winner
0,34262.0,25727.0,19062.0,15275.0,13577.0,31553.0,26308.0,23774.0,22037.0,15864.0,2526,-346,-4645,-6695,-2125,-11285,radiant
1,31618.0,27204.0,22312.0,16225.0,15260.0,27736.0,24774.0,23832.0,16414.0,13096.0,3851,2276,-1786,-132,2019,6228,dire
2,36105.0,27264.0,20827.0,15649.0,13281.0,31713.0,23356.0,18706.0,15236.0,12451.0,3924,3594,1543,205,614,9880,radiant
3,30781.0,26990.0,20285.0,14576.0,11141.0,29729.0,25192.0,21864.0,13484.0,12123.0,1333,782,-813,962,-884,1380,dire
4,32837.0,25020.0,25546.0,22552.0,16023.0,34078.0,31819.0,23856.0,17452.0,14155.0,-2288,-6068,1707,4658,1748,-243,dire
5,29288.0,26076.0,23147.0,15211.0,14230.0,29808.0,24981.0,22526.0,11919.0,11755.0,-1263,1223,-307,2858,2804,5315,dire
6,35298.0,23028.0,20398.0,20208.0,14088.0,31131.0,26542.0,19664.0,15778.0,14705.0,5292,-1964,1518,4701,498,10045,radiant
7,31641.0,18736.0,16616.0,14833.0,15527.0,34103.0,26037.0,21259.0,15634.0,13960.0,-2280,-6982,-4488,-159,1815,-12094,dire
8,34792.0,25485.0,22247.0,16932.0,16464.0,30257.0,29242.0,24271.0,16251.0,17195.0,4893,-3364,-1784,1112,-562,295,dire
9,38106.0,29665.0,21392.0,16001.0,15405.0,32194.0,27941.0,19175.0,15925.0,14228.0,3162,128,1077,-847,-224,3296,radiant
10,33860.0,22124.0,19438.0,15112.0,12486.0,31524.0,24464.0,23370.0,16667.0,15062.0,581,-3060,-4443,-1867,-2684,-11473,radiant
11,25673.0,24247.0,23929.0,18764.0,19361.0,31902.0,29500.0,21040.0,19271.0,18843.0,-5611,-4839,3245,-240,454,-6991,dire
12,29807.0,26664.0,18067.0,14961.0,16479.0,34631.0,35803.0,24701.0,15885.0,12722.0,-6264,-8146,-6761,62,4578,-16531,radiant
13,23884.0,23815.0,23198.0,10911.0,9527.0,35082.0,28129.0,25721.0,16517.0,11370.0,-10658,-4994,-2746,-5292,-1808,-25498,dire
14,35829.0,20953.0,21120.0,12998.0,11683.0,22947.0,24315.0,23089.0,14934.0,12289.0,11030,-4690,-3632,-1810,-1095,-197,radiant
15,30146.0,27002.0,23909.0,13893.0,14175.0,38814.0,24972.0,21639.0,14435.0,14431.0,-7796,2554,3334,22,-446,-2332,radiant
16,36249.0,28081.0,19977.0,15160.0,12174.0,28837.0,20578.0,22674.0,18979.0,14320.0,7559,7476,-2757,-3338,-2648,6292,dire
17,24265.0,24993.0,21814.0,15918.0,13448.0,31172.0,28035.0,25484.0,17933.0,15856.0,-5126,-3660,-3630,-1295,-1317,-15028,dire
18,37859.0,30635.0,26801.0,17479.0,15329.0,28253.0,24260.0,22234.0,12914.0,9397.0,10495,7293,5133,5332,6419,34672,radiant
19,26356.0,24149.0,22631.0,22329.0,16299.0,36687.0,31935.0,23372.0,16511.0,14965.0,-12374,-8937,-1729,5685,390,-16965,dire
20,33139.0,30781.0,31029.0,20677.0,18312.0,34458.0,27529.0,23151.0,14779.0,14408.0,-988,2902,8053,6567,3730,20264,radiant
21,29789.0,21407.0,21042.0,17816.0,13173.0,36814.0,23918.0,23010.0,16050.0,16389.0,-6741,-2342,-1771,1742,-2098,-11210,radiant
22,31237.0,27816.0,21103.0,19802.0,12704.0,39221.0,29108.0,29764.0,14019.0,11448.0,-9003,-4416,-10050,4656,362,-18451,dire
23,28046.0,29331.0,19125.0,15353.0,13660.0,26529.0,27211.0,22374.0,12776.0,12832.0,2732,1989,-2671,2468,1405,5923,radiant
24,28798.0,25950.0,25262.0,15141.0,15389.0,26570.0,23746.0,20524.0,16287.0,12566.0,1603,2147,5617,-694,2659,11332,radiant
25,34818.0,26840.0,22002.0,14351.0,11373.0,26521.0,25382.0,21354.0,16376.0,14730.0,8068,770,698,-1793,-3469,4274,radiant
26,29476.0,27352.0,22582.0,13412.0,14125.0,29748.0,27042.0,22717.0,22348.0,16103.0,-189,288,-204,-8722,-1829,-10656,radiant
27,38918.0,22287.0,21513.0,13365.0,12396.0,31905.0,25622.0,24079.0,14816.0,11901.0,5601,-3978,-4015,-1533,-184,-4109,radiant
28,30386.0,30455.0,27476.0,14681.0,14079.0,28742.0,30546.0,25919.0,22041.0,14710.0,1644,526,1184,-7929,-404,-4979,radiant
29,36404.0,26310.0,24734.0,19590.0,15894.0,33941.0,24917.0,23639.0,15042.0,13371.0,1901,827,672,4531,3191,11122,radiant
30,23951.0,20814.0,18330.0,14987.0,14341.0,30584.0,24937.0,24379.0,14092.0,12011.0,-5708,-4040,-5097,1996,2727,-10122,dire
31,30103.0,27569.0,22322.0,14402.0,12376.0,30702.0,21314.0,18750.0,14403.0,12911.0,-897,7717,2996,121,-219,9718,radiant
32,26469.0,22709.0,20256.0,16028.0,14924.0,29374.0,24581.0,24498.0,16272.0,18697.0,-1322,-808,-3285,481,-3227,-8161,dire
33,28316.0,23523.0,20674.0,14542.0,11653.0,33307.0,21460.0,24033.0,18261.0,11903.0,-4903,1532,-3504,-3929,-431,-11235,dire
34,34882.0,22928.0,22215.0,18245.0,18695.0,26965.0,22354.0,21468.0,15389.0,10915.0,8974,1589,1613,3601,8601,24378,radiant
35,29420.0,24378.0,21655.0,17431.0,13876.0,30292.0,24857.0,21637.0,21393.0,15162.0,-544,-719,-192,-4336,-1314,-7105,dire
36,29385.0,26762.0,20625.0,14855.0,14432.0,43564.0,24721.0,23713.0,16406.0,14711.0,-15160,1710,-3542,-2014,-460,-19466,dire
37,35186.0,23568.0,19722.0,17351.0,15095.0,34088.0,28414.0,24134.0,15854.0,12940.0,1128,-5052,-4006,1962,2151,-3817,radiant
38,37345.0,27988.0,26567.0,21371.0,15574.0,22842.0,23517.0,19189.0,12229.0,11869.0,15387,6065,8462,10691,4559,45164,radiant
39,32489.0,32630.0,31157.0,16879.0,17066.0,34877.0,25784.0,22776.0,17445.0,11395.0,-2779,6235,8362,-526,5479,16771,radiant
40,33785.0,27180.0,18655.0,14336.0,13605.0,32427.0,27667.0,23215.0,17242.0,15891.0,169,-1945,-5276,-3692,-2855,-13599,dire
41,29867.0,22491.0,22724.0,20082.0,14826.0,30684.0,29974.0,21493.0,17083.0,14933.0,59,-6942,1400,3714,239,-1530,dire
42,33845.0,22446.0,21357.0,15764.0,12899.0,29345.0,29083.0,23347.0,15951.0,15016.0,3819,-6865,-2119,-977,-2607,-8749,dire
43,35735.0,28025.0,18064.0,15840.0,15573.0,34944.0,22459.0,18157.0,16635.0,13886.0,2331,6084,771,37,2599,11822,radiant
44,24491.0,26915.0,21888.0,15833.0,13268.0,26423.0,26340.0,26465.0,15497.0,15883.0,-1689,-293,-4506,446,-2807,-8849,dire
45,31780.0,26354.0,20674.0,13180.0,12498.0,31398.0,23466.0,22059.0,15003.0,12789.0,-101,2371,-942,-1923,-305,-900,dire
